decoded_feature,chosen_task,reward_cond,decoded_fval_low,decoded_fval_high,fixed_fval,acc_t0,acc_t10,acc_t20,acc_t30,acc_t40,acc_t50
SL,SL,aR,2.1,2.7,2.1,0.843,0.845,0.838,0.849,0.845,0.832
SL,SL,aR,2.1,2.7,2.2,0.851,0.848,0.84,0.832,0.837,0.8280000000000001
SL,SL,aR,2.1,2.7,2.3,0.864,0.858,0.855,0.842,0.839,0.819
SL,SL,aR,2.1,2.7,2.4,0.85,0.853,0.845,0.835,0.831,0.81
SL,SL,aR,2.1,2.7,2.5,0.841,0.84,0.847,0.829,0.845,0.8240000000000001
SL,SL,aR,2.1,2.7,2.6,0.847,0.845,0.843,0.844,0.835,0.819
SL,SL,aR,2.1,2.7,2.7,0.839,0.834,0.8240000000000001,0.81,0.8029999999999999,0.804
SL,SL,aR,2.1,2.7,2.8,0.854,0.845,0.843,0.829,0.823,0.8049999999999999
SL,SL,aR,2.1,2.7,2.9,0.845,0.839,0.843,0.84,0.839,0.8240000000000001
SL,SL,aR,2.2,2.8,2.1,0.844,0.848,0.839,0.837,0.8260000000000001,0.813
SL,SL,aR,2.2,2.8,2.2,0.854,0.857,0.852,0.858,0.855,0.84
SL,SL,aR,2.2,2.8,2.3,0.864,0.85,0.843,0.839,0.848,0.8280000000000001
SL,SL,aR,2.2,2.8,2.4,0.836,0.841,0.83,0.8180000000000001,0.83,0.808
SL,SL,aR,2.2,2.8,2.5,0.853,0.854,0.852,0.842,0.842,0.827
SL,SL,aR,2.2,2.8,2.6,0.856,0.861,0.856,0.853,0.844,0.83
SL,SL,aR,2.2,2.8,2.7,0.86,0.863,0.855,0.839,0.835,0.825
SL,SL,aR,2.2,2.8,2.8,0.857,0.856,0.853,0.86,0.851,0.8180000000000001
SL,SL,aR,2.2,2.8,2.9,0.843,0.842,0.838,0.836,0.8260000000000001,0.81
SL,SL,aR,2.3,2.9,2.1,0.853,0.85,0.843,0.839,0.8220000000000001,0.8180000000000001
SL,SL,aR,2.3,2.9,2.2,0.861,0.859,0.856,0.852,0.855,0.827
SL,SL,aR,2.3,2.9,2.3,0.843,0.83,0.829,0.839,0.8280000000000001,0.806
SL,SL,aR,2.3,2.9,2.4,0.847,0.85,0.841,0.845,0.838,0.829
SL,SL,aR,2.3,2.9,2.5,0.843,0.845,0.854,0.856,0.845,0.83
SL,SL,aR,2.3,2.9,2.6,0.842,0.837,0.852,0.839,0.831,0.8089999999999999
SL,SL,aR,2.3,2.9,2.7,0.877,0.843,0.841,0.837,0.84,0.8240000000000001
SL,SL,aR,2.3,2.9,2.8,0.869,0.853,0.85,0.863,0.837,0.835
SL,SL,aR,2.3,2.9,2.9,0.854,0.854,0.846,0.835,0.835,0.833
SL,SL,aNR,2.1,2.7,2.1,0.847,0.848,0.827,0.8220000000000001,0.835,0.812
SL,SL,aNR,2.1,2.7,2.2,0.861,0.856,0.848,0.851,0.844,0.832
SL,SL,aNR,2.1,2.7,2.3,0.841,0.841,0.84,0.838,0.825,0.8109999999999999
SL,SL,aNR,2.1,2.7,2.4,0.843,0.83,0.827,0.827,0.806,0.8
SL,SL,aNR,2.1,2.7,2.5,0.854,0.852,0.839,0.84,0.8280000000000001,0.8160000000000001
SL,SL,aNR,2.1,2.7,2.6,0.854,0.851,0.834,0.835,0.8220000000000001,0.806
