stim1 decoder,stim1 low,stim1 high,opp1,chosen task,reward cond,accuracy t0,accuracy t15,accuracy t30,accuracy t45
SF,2.1,2.7,2.1,SF,aR,0.843,0.833,0.829,0.8240000000000001
SF,2.1,2.7,2.1,SL,aR,0.847,0.755,0.599,0.5589999999999999
SF,2.1,2.7,2.3,SF,aR,0.855,0.846,0.858,0.85
SF,2.1,2.7,2.3,SL,aR,0.839,0.752,0.636,0.506
SF,2.1,2.7,2.5,SF,aR,0.855,0.845,0.855,0.845
SF,2.1,2.7,2.5,SL,aR,0.839,0.738,0.623,0.52
SF,2.1,2.7,2.7,SF,aR,0.861,0.843,0.852,0.847
SF,2.1,2.7,2.7,SL,aR,0.84,0.739,0.599,0.524
SF,2.1,2.7,2.9,SF,aR,0.859,0.843,0.855,0.85
SF,2.1,2.7,2.9,SL,aR,0.834,0.732,0.5780000000000001,0.525
SF,2.1,2.7,2.1,SF,aNR,0.855,0.844,0.825,0.819
SF,2.1,2.7,2.1,SL,aNR,0.836,0.754,0.6890000000000001,0.596
SF,2.1,2.7,2.3,SF,aNR,0.844,0.815,0.8280000000000001,0.8
SF,2.1,2.7,2.3,SL,aNR,0.845,0.787,0.696,0.6
SF,2.1,2.7,2.5,SF,aNR,0.842,0.8280000000000001,0.8200000000000001,0.8049999999999999
SF,2.1,2.7,2.5,SL,aNR,0.849,0.759,0.673,0.575
SF,2.1,2.7,2.7,SF,aNR,0.841,0.83,0.813,0.791
SF,2.1,2.7,2.7,SL,aNR,0.832,0.789,0.659,0.569
SF,2.1,2.7,2.9,SF,aNR,0.836,0.815,0.8089999999999999,0.794
SF,2.1,2.7,2.9,SL,aNR,0.7969999999999999,0.762,0.652,0.5509999999999999
SF,2.2,2.8,2.1,SF,aR,0.853,0.866,0.867,0.847
SF,2.2,2.8,2.1,SL,aR,0.838,0.748,0.619,0.53
SF,2.2,2.8,2.3,SF,aR,0.844,0.833,0.831,0.835
SF,2.2,2.8,2.3,SL,aR,0.842,0.743,0.612,0.55
SF,2.2,2.8,2.5,SF,aR,0.848,0.832,0.832,0.837
SF,2.2,2.8,2.5,SL,aR,0.836,0.75,0.617,0.5429999999999999
SF,2.2,2.8,2.7,SF,aR,0.852,0.833,0.834,0.832
SF,2.2,2.8,2.7,SL,aR,0.839,0.755,0.615,0.54
SF,2.2,2.8,2.9,SF,aR,0.85,0.832,0.837,0.83
SF,2.2,2.8,2.9,SL,aR,0.839,0.753,0.594,0.538
SF,2.2,2.8,2.1,SF,aNR,0.8280000000000001,0.817,0.8009999999999999,0.8029999999999999
SF,2.2,2.8,2.1,SL,aNR,0.831,0.774,0.7030000000000001,0.625
SF,2.2,2.8,2.3,SF,aNR,0.84,0.838,0.832,0.813
SF,2.2,2.8,2.3,SL,aNR,0.839,0.789,0.6779999999999999,0.597
SF,2.2,2.8,2.5,SF,aNR,0.847,0.827,0.8220000000000001,0.819
SF,2.2,2.8,2.5,SL,aNR,0.8160000000000001,0.757,0.663,0.6
SF,2.2,2.8,2.7,SF,aNR,0.8280000000000001,0.819,0.8240000000000001,0.802
SF,2.2,2.8,2.7,SL,aNR,0.8069999999999999,0.744,0.641,0.5840000000000001
SF,2.2,2.8,2.9,SF,aNR,0.84,0.842,0.825,0.8140000000000001
SF,2.2,2.8,2.9,SL,aNR,0.8069999999999999,0.768,0.647,0.599
SF,2.3,2.9,2.1,SF,aR,0.851,0.852,0.841,0.8220000000000001
SF,2.3,2.9,2.1,SL,aR,0.83,0.751,0.612,0.506
SF,2.3,2.9,2.3,SF,aR,0.847,0.846,0.836,0.821
SF,2.3,2.9,2.3,SL,aR,0.845,0.753,0.627,0.5589999999999999
SF,2.3,2.9,2.5,SF,aR,0.847,0.844,0.836,0.8200000000000001
SF,2.3,2.9,2.5,SL,aR,0.845,0.751,0.618,0.5429999999999999
SF,2.3,2.9,2.7,SF,aR,0.844,0.843,0.841,0.817
SF,2.3,2.9,2.7,SL,aR,0.841,0.746,0.604,0.528
SF,2.3,2.9,2.9,SF,aR,0.844,0.841,0.841,0.8160000000000001
SF,2.3,2.9,2.9,SL,aR,0.841,0.737,0.5840000000000001,0.542
SF,2.3,2.9,2.1,SF,aNR,0.835,0.8180000000000001,0.813,0.79
SF,2.3,2.9,2.1,SL,aNR,0.804,0.757,0.712,0.621
SF,2.3,2.9,2.3,SF,aNR,0.836,0.8240000000000001,0.823,0.806
SF,2.3,2.9,2.3,SL,aNR,0.834,0.77,0.6890000000000001,0.602
SF,2.3,2.9,2.5,SF,aNR,0.844,0.832,0.821,0.8049999999999999
SF,2.3,2.9,2.5,SL,aNR,0.836,0.787,0.7050000000000001,0.595
SF,2.3,2.9,2.7,SF,aNR,0.85,0.8240000000000001,0.821,0.81
SF,2.3,2.9,2.7,SL,aNR,0.83,0.773,0.694,0.5640000000000001
SF,2.3,2.9,2.9,SF,aNR,0.838,0.8160000000000001,0.821,0.788
SF,2.3,2.9,2.9,SL,aNR,0.831,0.761,0.654,0.5900000000000001
SL,2.1,2.7,2.1,SL,aR,0.843,0.835,0.834,0.8240000000000001
SL,2.1,2.7,2.1,SF,aR,0.839,0.724,0.583,0.525
SL,2.1,2.7,2.3,SL,aR,0.831,0.8240000000000001,0.819,0.825
SL,2.1,2.7,2.3,SF,aR,0.8280000000000001,0.731,0.583,0.526
SL,2.1,2.7,2.5,SL,aR,0.834,0.8220000000000001,0.8200000000000001,0.8260000000000001
SL,2.1,2.7,2.5,SF,aR,0.8240000000000001,0.727,0.5700000000000001,0.538
SL,2.1,2.7,2.7,SL,aR,0.838,0.8200000000000001,0.825,0.8280000000000001
SL,2.1,2.7,2.7,SF,aR,0.8200000000000001,0.716,0.563,0.546
SL,2.1,2.7,2.9,SL,aR,0.834,0.817,0.819,0.8280000000000001
SL,2.1,2.7,2.9,SF,aR,0.823,0.7030000000000001,0.573,0.525
SL,2.1,2.7,2.1,SL,aNR,0.8220000000000001,0.823,0.815,0.823
SL,2.1,2.7,2.1,SF,aNR,0.8049999999999999,0.767,0.645,0.628
SL,2.1,2.7,2.3,SL,aNR,0.854,0.849,0.84,0.8280000000000001
SL,2.1,2.7,2.3,SF,aNR,0.839,0.791,0.6759999999999999,0.611
SL,2.1,2.7,2.5,SL,aNR,0.853,0.854,0.843,0.829
SL,2.1,2.7,2.5,SF,aNR,0.821,0.758,0.683,0.65
SL,2.1,2.7,2.7,SL,aNR,0.841,0.832,0.83,0.8109999999999999
SL,2.1,2.7,2.7,SF,aNR,0.819,0.77,0.6839999999999999,0.647
SL,2.1,2.7,2.9,SL,aNR,0.839,0.837,0.83,0.8109999999999999
SL,2.1,2.7,2.9,SF,aNR,0.802,0.798,0.7130000000000001,0.616
SL,2.2,2.8,2.1,SL,aR,0.852,0.848,0.836,0.8240000000000001
SL,2.2,2.8,2.1,SF,aR,0.821,0.732,0.562,0.529
SL,2.2,2.8,2.3,SL,aR,0.845,0.852,0.839,0.833
SL,2.2,2.8,2.3,SF,aR,0.831,0.729,0.596,0.512
SL,2.2,2.8,2.5,SL,aR,0.844,0.854,0.841,0.835
SL,2.2,2.8,2.5,SF,aR,0.8240000000000001,0.718,0.585,0.536
SL,2.2,2.8,2.7,SL,aR,0.842,0.855,0.845,0.832
SL,2.2,2.8,2.7,SF,aR,0.821,0.7090000000000001,0.602,0.534
SL,2.2,2.8,2.9,SL,aR,0.84,0.852,0.841,0.837
SL,2.2,2.8,2.9,SF,aR,0.8200000000000001,0.7070000000000001,0.5780000000000001,0.522
SL,2.2,2.8,2.1,SL,aNR,0.838,0.83,0.8240000000000001,0.8089999999999999
SL,2.2,2.8,2.1,SF,aNR,0.839,0.78,0.663,0.6
SL,2.2,2.8,2.3,SL,aNR,0.858,0.838,0.8260000000000001,0.8240000000000001
SL,2.2,2.8,2.3,SF,aNR,0.829,0.771,0.6639999999999999,0.614
SL,2.2,2.8,2.5,SL,aNR,0.855,0.852,0.838,0.821
SL,2.2,2.8,2.5,SF,aNR,0.804,0.779,0.659,0.622
SL,2.2,2.8,2.7,SL,aNR,0.855,0.837,0.8260000000000001,0.834
SL,2.2,2.8,2.7,SF,aNR,0.8280000000000001,0.764,0.722,0.637
SL,2.2,2.8,2.9,SL,aNR,0.854,0.841,0.836,0.8280000000000001
SL,2.2,2.8,2.9,SF,aNR,0.8009999999999999,0.765,0.6839999999999999,0.647
SL,2.3,2.9,2.1,SL,aR,0.837,0.8109999999999999,0.821,0.8049999999999999
SL,2.3,2.9,2.1,SF,aR,0.8220000000000001,0.743,0.622,0.5489999999999999
SL,2.3,2.9,2.3,SL,aR,0.827,0.8220000000000001,0.812,0.8069999999999999
SL,2.3,2.9,2.3,SF,aR,0.8220000000000001,0.723,0.5780000000000001,0.5469999999999999
SL,2.3,2.9,2.5,SL,aR,0.8260000000000001,0.823,0.8109999999999999,0.8069999999999999
SL,2.3,2.9,2.5,SF,aR,0.806,0.708,0.577,0.56
SL,2.3,2.9,2.7,SL,aR,0.831,0.8280000000000001,0.8140000000000001,0.804
SL,2.3,2.9,2.7,SF,aR,0.812,0.7010000000000001,0.585,0.563
SL,2.3,2.9,2.9,SL,aR,0.831,0.8240000000000001,0.815,0.806
SL,2.3,2.9,2.9,SF,aR,0.8109999999999999,0.7010000000000001,0.599,0.558
SL,2.3,2.9,2.1,SL,aNR,0.848,0.835,0.83,0.8109999999999999
SL,2.3,2.9,2.1,SF,aNR,0.81,0.752,0.6659999999999999,0.61
SL,2.3,2.9,2.3,SL,aNR,0.823,0.81,0.8,0.7989999999999999
