decoded_feature,chosen_task,reward_cond,decoded_fval_low,decoded_fval_high,fixed_fval,acc_t0,acc_t10,acc_t20,acc_t30,acc_t40,acc_t50
SL,SL,aR,2.1,2.7,2.1,0.833,0.833,0.84,0.823,0.806,0.8140000000000001
SL,SL,aR,2.1,2.7,2.2,0.857,0.847,0.847,0.841,0.8280000000000001,0.8280000000000001
SL,SL,aR,2.1,2.7,2.3,0.857,0.846,0.843,0.843,0.838,0.836
SL,SL,aR,2.1,2.7,2.4,0.83,0.831,0.8240000000000001,0.817,0.825,0.79
SL,SL,aR,2.1,2.7,2.5,0.829,0.815,0.8180000000000001,0.8,0.7969999999999999,0.783
SL,SL,aR,2.1,2.7,2.6,0.85,0.834,0.833,0.834,0.8220000000000001,0.813
SL,SL,aR,2.1,2.7,2.7,0.85,0.832,0.8220000000000001,0.815,0.8069999999999999,0.802
SL,SL,aR,2.1,2.7,2.8,0.835,0.832,0.819,0.8180000000000001,0.821,0.819
SL,SL,aR,2.1,2.7,2.9,0.819,0.821,0.806,0.8069999999999999,0.8049999999999999,0.788
SL,SL,aR,2.2,2.8,2.1,0.849,0.833,0.842,0.834,0.827,0.815
SL,SL,aR,2.2,2.8,2.2,0.839,0.8160000000000001,0.8260000000000001,0.815,0.808,0.8049999999999999
SL,SL,aR,2.2,2.8,2.3,0.829,0.839,0.836,0.8220000000000001,0.833,0.8180000000000001
SL,SL,aR,2.2,2.8,2.4,0.847,0.852,0.834,0.843,0.825,0.821
SL,SL,aR,2.2,2.8,2.5,0.861,0.846,0.847,0.835,0.833,0.8200000000000001
SL,SL,aR,2.2,2.8,2.6,0.8180000000000001,0.819,0.827,0.808,0.793,0.777
SL,SL,aR,2.2,2.8,2.7,0.861,0.846,0.84,0.839,0.821,0.806
SL,SL,aR,2.2,2.8,2.8,0.845,0.8240000000000001,0.813,0.81,0.8180000000000001,0.8180000000000001
SL,SL,aR,2.2,2.8,2.9,0.8260000000000001,0.8260000000000001,0.81,0.8089999999999999,0.808,0.8029999999999999
SL,SL,aR,2.3,2.9,2.1,0.85,0.838,0.838,0.843,0.836,0.8280000000000001
SL,SL,aR,2.3,2.9,2.2,0.853,0.84,0.846,0.833,0.829,0.8089999999999999
SL,SL,aR,2.3,2.9,2.3,0.8220000000000001,0.827,0.813,0.804,0.8089999999999999,0.796
