stim1 decoder,stim1 low,stim1 high,opp1,chosen task,reward cond,accuracy t0,accuracy t15,accuracy t30,accuracy t45
SL,2.1,2.7,2.1,SL,aR,0.83,0.8200000000000001,0.827,0.823
SL,2.1,2.7,2.1,SF,aR,0.827,0.7070000000000001,0.612,0.5720000000000001
SL,2.1,2.7,2.2,SL,aR,0.854,0.835,0.832,0.819
SL,2.1,2.7,2.2,SF,aR,0.8220000000000001,0.749,0.613,0.579
SL,2.1,2.7,2.3,SL,aR,0.854,0.833,0.83,0.819
SL,2.1,2.7,2.3,SF,aR,0.823,0.739,0.618,0.5680000000000001
SL,2.1,2.7,2.4,SL,aR,0.853,0.835,0.83,0.823
SL,2.1,2.7,2.4,SF,aR,0.8240000000000001,0.736,0.621,0.5700000000000001
SL,2.1,2.7,2.5,SL,aR,0.851,0.831,0.83,0.825
SL,2.1,2.7,2.5,SF,aR,0.8200000000000001,0.735,0.619,0.562
SL,2.1,2.7,2.6,SL,aR,0.851,0.831,0.832,0.823
SL,2.1,2.7,2.6,SF,aR,0.821,0.734,0.622,0.546
SL,2.1,2.7,2.7,SL,aR,0.85,0.831,0.837,0.8240000000000001
SL,2.1,2.7,2.7,SF,aR,0.8180000000000001,0.732,0.604,0.542
SL,2.1,2.7,2.8,SL,aR,0.852,0.8280000000000001,0.835,0.8240000000000001
SL,2.1,2.7,2.8,SF,aR,0.8180000000000001,0.727,0.6,0.53
SL,2.1,2.7,2.9,SL,aR,0.852,0.832,0.84,0.8280000000000001
SL,2.1,2.7,2.9,SF,aR,0.8180000000000001,0.723,0.597,0.52
SL,2.1,2.7,2.1,SL,aNR,0.85,0.8220000000000001,0.793,0.773
SL,2.1,2.7,2.1,SF,aNR,0.8220000000000001,0.753,0.6990000000000001,0.623
SL,2.1,2.7,2.2,SL,aNR,0.8180000000000001,0.808,0.796,0.777
SL,2.1,2.7,2.2,SF,aNR,0.836,0.7989999999999999,0.708,0.642
